Timestamp,FlowID
17:08:25423,-1847671547
17:08:25424,-1694728516
17:08:25426,-1613420218
17:08:25428,1773265715
17:08:25428,-1180219895
17:08:25429,-1253251724
17:08:25443,373597510
17:08:25443,818902812
17:08:25443,-1648329400
17:08:25444,1294225261
17:08:25445,-1439767305
17:08:25445,74827093
17:08:25446,-64449354
17:08:25446,1337506888
17:08:25447,-1188585296
17:08:25447,-1580631334
17:08:25447,2044541387
17:08:25448,2109384654
17:08:25448,-1145544345
17:08:25448,-189570380
17:08:25448,446309123
17:08:25450,2099994619
17:08:25450,-1259984490
17:08:25450,1999346092
17:08:25450,1603278269
17:08:25450,-39746304
17:08:25450,2056970104
17:08:25450,1748079406
17:08:25450,-348695851
17:08:25450,1842657172
17:08:25452,-1843982600
17:08:25452,-64473275
17:08:25452,917655281
17:08:25452,-1412768441
17:08:25452,395650335
17:08:25452,-305485987
17:08:25452,1644735601
17:08:25452,759985606
17:08:26237,-1650187008
17:08:26238,-1626723881
17:08:26261,-121600232
17:08:26302,-498991446
17:08:26305,705716237
17:08:26321,1625302477
17:08:26323,-441296845
17:08:26324,1321512643
17:08:26326,-318115023
17:08:26328,942001572
17:08:26330,-548420585
17:08:26337,1097828901
17:08:26341,790103133
17:08:26343,-71191512
17:08:26344,1510201793
17:08:26344,1934349174
17:08:26363,-9346570
17:08:26367,727630232
17:08:26368,-2005675967
17:08:26369,-1740518457
17:08:26371,1328901985
17:08:26371,-1744470827
17:08:26372,-2070152350
17:08:26372,-783355933
17:08:26392,-148414480
17:08:26394,883263112
17:08:26394,2107777114
17:08:26399,-196772317
17:08:26399,2103770591
17:08:26400,-1567585224
17:08:26400,1987398727
17:08:26401,1524357214
17:08:26401,995357253
17:08:26401,2021432963
17:08:26401,377614599
17:08:26402,-320845962
17:08:26402,-1971279543
17:08:26402,-1039693400
17:08:26403,929106765
17:08:26403,-1445041486
17:08:26404,-318706880
17:08:26404,329040007
17:08:26404,396224582
17:08:26414,1049051201
17:08:26415,1237417346
17:08:26415,-988227466
17:08:26415,677473195
17:08:26415,-1052938655
17:08:26415,-1451671965
17:08:26416,-167926411
17:08:26416,-1960668810
17:08:26416,2058787355
17:08:26416,1227267274
17:08:26416,2013680259
17:08:26416,2041732815
17:08:26416,335692792
17:08:26418,135478047
17:08:26422,1876297522
17:08:26422,-185143261
17:08:26423,1235490764
17:08:26423,-447946549
17:08:26423,1570358040
17:08:26424,1074290489
17:08:26425,-592820182
17:08:26426,-1590273785
17:08:26429,1827702090
17:08:26429,1890046435
17:08:26430,-1998850306
17:08:26443,1956311452
17:08:26443,-1159287388
17:08:26443,-1846379968
17:08:26444,1548118692
17:08:26445,679194762
17:08:26445,-1999727600
17:08:26446,-1957197792
17:08:26446,1625188009
17:08:26447,-630530451
17:08:26447,1870073551
17:08:26447,-690229267
17:08:26448,-1783176821
17:08:26448,1289761307
17:08:26448,1788940477
17:08:26448,992260163
17:08:26450,278703783
17:08:26450,-402064887
17:08:26450,1082726038
17:08:26450,2060685761
17:08:26451,-1561162108
17:08:26451,1290727974
17:08:26451,-2115899145
17:08:26451,1576977512
17:08:26451,888977114
17:08:26452,314699529
17:08:26452,-2033628584
17:08:26452,-1823723546
17:08:26452,68943004
